NUMERO_NF;SERIE;EMPRESA;FORNECEDOR;DATA_EMISSAO;DATA_ENTRADA;CGO;VALOR_TOTAL;SITUACAO_;SITUACAO;SEQNOTAFISCAL;SEQAUXNOTAFISCAL;SITUACAO_CONFERENCIA;USUARIO_CONFERENCIA;CHAVE_ACESSO
44547;3;R063-MERC STI;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-09-00.00.00.000000;2026-09-09-00.00.00.000000;56;481,8;RECEBIMENTO;R;;93408;;;21260903835761000151550030000445471924978218
44548;3;R063-MERC STI;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-09-00.00.00.000000;2026-09-09-00.00.00.000000;56;6704,65;RECEBIMENTO;R;;93409;;;21260903835761000151550030000445481560068110
44549;3;R063-MERC STI;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-09-00.00.00.000000;2026-09-09-00.00.00.000000;56;2995,2;RECEBIMENTO;R;;93410;;;21260903835761000151550030000445491462483145
3731;3;R001-EMP.CALHAU;50-RIO GRANDE COMERCIO DE CARNES LTDA;2026-09-11-00.00.00.000000;2026-09-11-00.00.00.000000;50;7440,45;RECEBIMENTO;R;;94612;;;21260907555950005000550030000037311775960566
3732;3;R029-EMP.PDA;50-RIO GRANDE COMERCIO DE CARNES LTDA;2026-09-11-00.00.00.000000;2026-09-11-00.00.00.000000;50;10227,64;RECEBIMENTO;R;;94626;;;21260907555950005000550030000037321550334231
44550;3;R063-MERC STI;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-09-00.00.00.000000;2026-09-09-00.00.00.000000;56;213,6;RECEBIMENTO;R;;93411;;;21260903835761000151550030000445501205851286
12445;3;R054-COHAB 2;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-06-13-00.00.00.000000;2026-09-02-00.00.00.000000;56;2057,2;RECEBIMENTO;R;;88779;;;21260603835761000151550030000124451176378003
44556;3;R063-MERC STI;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-09-00.00.00.000000;2026-09-09-00.00.00.000000;56;291,77;RECEBIMENTO;R;;93417;;;21260903835761000151550030000445561624839734
32565;1;C001-CD BR;2702-INDUSTRIA E COMERCIO DE PAPEIS BRITO LTD;2026-09-04-00.00.00.000000;2026-09-10-00.00.00.000000;8;38995;RECEBIMENTO;R;;94074;;;35260962433966000170550010000325651828717900
44551;3;R063-MERC STI;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-09-00.00.00.000000;2026-09-09-00.00.00.000000;56;18162,96;RECEBIMENTO;R;;93412;;;21260903835761000151550030000445511679177273
44552;3;R063-MERC STI;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-09-00.00.00.000000;2026-09-09-00.00.00.000000;56;2104,16;RECEBIMENTO;R;;93413;;;21260903835761000151550030000445521337034883
44553;3;R063-MERC STI;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-09-00.00.00.000000;2026-09-09-00.00.00.000000;56;7496,9;RECEBIMENTO;R;;93414;;;21260903835761000151550030000445531658943079
44554;3;R063-MERC STI;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-09-00.00.00.000000;2026-09-09-00.00.00.000000;56;15324,5;RECEBIMENTO;R;;93415;;;21260903835761000151550030000445541928651820
44555;3;R063-MERC STI;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-09-00.00.00.000000;2026-09-09-00.00.00.000000;56;909,6;RECEBIMENTO;R;;93416;;;21260903835761000151550030000445551222790970
