NUMERO_NF;SERIE;EMPRESA;FORNECEDOR;DATA_EMISSAO;DATA_ENTRADA;CGO;VALOR_TOTAL;SITUACAO_;SITUACAO;SEQNOTAFISCAL;SEQAUXNOTAFISCAL;SITUACAO_CONFERENCIA;USUARIO_CONFERENCIA;CHAVE_ACESSO
41453;3;R004-EMP.COHAMA;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-01-00.00.00.000000;2026-09-02-00.00.00.000000;59;277,92;RECEBIDA;I;;88273;LIBERADA;;21260903835761000151550030000414531417203612
41452;3;R004-EMP.COHAMA;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-01-00.00.00.000000;2026-09-02-00.00.00.000000;59;1682,4;RECEBIDA;I;;88272;LIBERADA;;21260903835761000151550030000414521328262004
41455;3;R004-EMP.COHAMA;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-01-00.00.00.000000;2026-09-02-00.00.00.000000;60;849,6;RECEBIDA;I;;88275;LIBERADA;;21260903835761000151550030000414551222572745
41444;3;R004-EMP.COHAMA;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-01-00.00.00.000000;2026-09-02-00.00.00.000000;56;3260,4;RECEBIDA;I;;88264;LIBERADA;;21260903835761000151550030000414441159686501
41456;3;R004-EMP.COHAMA;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-01-00.00.00.000000;2026-09-02-00.00.00.000000;60;2678,1;RECEBIDA;I;;88276;LIBERADA;;21260903835761000151550030000414561699732466
41457;3;R004-EMP.COHAMA;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-01-00.00.00.000000;2026-09-02-00.00.00.000000;60;12238,8;RECEBIDA;I;;88277;LIBERADA;;21260903835761000151550030000414571344765682
41613;3;R004-EMP.COHAMA;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-02-00.00.00.000000;2026-09-02-00.00.00.000000;51;482,58;RECEBIDA;I;;88419;LIBERADA;;21260903835761000151550030000416131738371949
41311;3;R004-EMP.COHAMA;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-01-00.00.00.000000;2026-09-02-00.00.00.000000;51;141,6;RECEBIDA;I;;88057;LIBERADA;;21260903835761000151550030000413111295082233
41461;3;R004-EMP.COHAMA;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-01-00.00.00.000000;2026-09-02-00.00.00.000000;51;457,49;RECEBIDA;I;;88283;LIBERADA;;21260903835761000151550030000414611556526650
2346;3;R004-EMP.COHAMA;1-RIO GRANDE COMERCIO DE CARNES LTDA;2026-09-02-00.00.00.000000;2026-09-02-00.00.00.000000;50;,01;RECEBIDA;I;;88615;LIBERADA;;21260907555950000121550030000023461892004009
2343;3;R004-EMP.COHAMA;1-RIO GRANDE COMERCIO DE CARNES LTDA;2026-09-02-00.00.00.000000;2026-09-02-00.00.00.000000;50;211,77;RECEBIDA;I;;88594;LIBERADA;;21260907555950000121550030000023431308758999
2341;3;R004-EMP.COHAMA;1-RIO GRANDE COMERCIO DE CARNES LTDA;2026-09-02-00.00.00.000000;2026-09-02-00.00.00.000000;50;218,89;RECEBIDA;I;;88591;LIBERADA;;21260907555950000121550030000023411616917791
2336;3;R004-EMP.COHAMA;1-RIO GRANDE COMERCIO DE CARNES LTDA;2026-09-02-00.00.00.000000;2026-09-02-00.00.00.000000;50;321,21;RECEBIDA;I;;88586;LIBERADA;;21260907555950000121550030000023361726812854
2332;3;R004-EMP.COHAMA;1-RIO GRANDE COMERCIO DE CARNES LTDA;2026-09-02-00.00.00.000000;2026-09-02-00.00.00.000000;50;122,44;RECEBIDA;I;;88582;LIBERADA;;21260907555950000121550030000023321347665900
3471;3;R004-EMP.COHAMA;50-RIO GRANDE COMERCIO DE CARNES LTDA;2026-09-02-00.00.00.000000;2026-09-02-00.00.00.000000;50;87,46;RECEBIDA;I;;88815;LIBERADA;;21260907555950005000550030000034711643557771
3468;3;R004-EMP.COHAMA;50-RIO GRANDE COMERCIO DE CARNES LTDA;2026-09-02-00.00.00.000000;2026-09-02-00.00.00.000000;50;2265,68;RECEBIDA;I;;88747;LIBERADA;;21260907555950005000550030000034681114461708
1958;3;R004-EMP.COHAMA;29-RIO GRANDE COMERCIO DE CARNES LTDA;2026-09-02-00.00.00.000000;2026-09-02-00.00.00.000000;50;164,92;RECEBIDA;I;;88830;LIBERADA;;21260907555950002922550030000019581121384134
41445;3;R004-EMP.COHAMA;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-01-00.00.00.000000;2026-09-02-00.00.00.000000;56;10238,69;RECEBIDA;I;;88265;LIBERADA;;21260903835761000151550030000414451689102539
40907;3;R004-EMP.COHAMA;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-08-31-00.00.00.000000;2026-09-01-00.00.00.000000;55;7856,71;RECEBIDA;I;;87309;LIBERADA;;21260803835761000151550030000409071614952649
93235;2;R004-EMP.COHAMA;5372-SITIO COMERCIO DE FRUTAS LTDA;2026-09-01-00.00.00.000000;2026-09-01-00.00.00.000000;;1705,8;XML;X;3630455;;;;21260928123758000136550020000932351854618874
5429111;7;R004-EMP.COHAMA;6911-REFRESCOS GUARARAPES LTDA.;2026-09-01-00.00.00.000000;2026-09-01-00.00.00.000000;;4620,35;XML;X;3630489;;;;21260908715757002540550070054291111956569279
5429589;7;R004-EMP.COHAMA;6911-REFRESCOS GUARARAPES LTDA.;2026-09-01-00.00.00.000000;2026-09-01-00.00.00.000000;;160,8;XML;X;3630492;;;;21260908715757002540550070054295891344439549
621839;1;R004-EMP.COHAMA;4156-REVENMOTA IND DE RAC. COM DE G;2026-09-01-00.00.00.000000;2026-09-01-00.00.00.000000;;9628;XML;X;3629877;;;;21260910369130000150550010006218391251130845
329570;1;R004-EMP.COHAMA;4643-RICCO ALIMENTOS;2026-09-02-00.00.00.000000;2026-09-02-00.00.00.000000;;2787,4;XML;X;3640352;;;;21260929356859000110550010003295701184107214
5145;1;R004-EMP.COHAMA;20226-TOP MORANGOS E VERDURAS FARIA LTDA;2026-09-02-00.00.00.000000;2026-09-02-00.00.00.000000;;620;XML;X;3640353;;;;21260944286411000160550010000051451100051452
329571;1;R004-EMP.COHAMA;4643-RICCO ALIMENTOS;2026-09-02-00.00.00.000000;2026-09-02-00.00.00.000000;;60;XML;X;3640354;;;;21260929356859000110550010003295711189163225
40178;4;R004-EMP.COHAMA;6996-SANTA IZABEL ALIMENTOS LTDA;2026-09-01-00.00.00.000000;2026-09-01-00.00.00.000000;;654;XML;X;3629852;;;;21260903779994000427550040000401781620052144
14493;1;R004-EMP.COHAMA;5504-DISTRIBUIDORA DE ALIMENTOS VAL;2026-09-01-00.00.00.000000;2026-09-01-00.00.00.000000;;506,76;XML;X;3629878;;;;21260914613711000308550010000144931030000166
2375;1;R004-EMP.COHAMA;6227-COMERCIAL TF DE ALMEIDA LTDA;2026-09-01-00.00.00.000000;2026-09-01-00.00.00.000000;;1090;XML;X;3629904;;;;21260953673998000151550010000023751473208097
5429584;7;R004-EMP.COHAMA;6911-REFRESCOS GUARARAPES LTDA.;2026-09-01-00.00.00.000000;2026-09-01-00.00.00.000000;;1020,62;XML;X;3630491;;;;21260908715757002540550070054295841047024704
1017;1;R004-EMP.COHAMA;6473-F R CADILHE BRANDAO & CIA LTDA;2026-09-02-00.00.00.000000;2026-09-02-00.00.00.000000;;105;XML;X;3640351;;;;21260908304468000181550010000010171410944905
5429583;7;R004-EMP.COHAMA;6911-REFRESCOS GUARARAPES LTDA.;2026-09-01-00.00.00.000000;2026-09-01-00.00.00.000000;;120;XML;X;3630490;;;;21260908715757002540550070054295831246505217
19106;1;R004-EMP.COHAMA;6968-COM DE FRUTAS E VERDURAS RIVA LTDA;2026-09-02-00.00.00.000000;2026-09-02-00.00.00.000000;;170;XML;X;3640355;;;;43260989354021000119550010000191061412687366
41424;3;R004-EMP.COHAMA;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-01-00.00.00.000000;2026-09-01-00.00.00.000000;55;4659,31;RECEBIMENTO;R;;88238;;;21260903835761000151550030000414241229057440
41425;3;R004-EMP.COHAMA;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-01-00.00.00.000000;2026-09-01-00.00.00.000000;55;14120,69;RECEBIMENTO;R;;88239;;;21260903835761000151550030000414251156037000
41426;3;R004-EMP.COHAMA;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-01-00.00.00.000000;2026-09-01-00.00.00.000000;55;1799;RECEBIMENTO;R;;88240;;;21260903835761000151550030000414261448650338
41427;3;R004-EMP.COHAMA;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-01-00.00.00.000000;2026-09-01-00.00.00.000000;55;1199,5;RECEBIMENTO;R;;88241;;;21260903835761000151550030000414271477500567
41428;3;R004-EMP.COHAMA;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-01-00.00.00.000000;2026-09-01-00.00.00.000000;55;959,7;RECEBIMENTO;R;;88242;;;21260903835761000151550030000414281774794856
